user,day,logon_count,after_hours_logon_count,weekend_logon_count,unique_pc_count,device_connect_count,after_hours_device_count,file_access_count,file_copy_count,sensitive_file_count,after_hours_file_count,http_count,suspicious_http_count,after_hours_http_count,email_sent_count,external_email_count,attachment_email_count,unique_recipient_count,total_recipient_count,role,role_peer_deviation_score
RRC0553,2010-01-02,3,1.0,3.0,1,6.0,0.0,23.0,0.0,0.0,0.0,95.0,0.0,11.0,9.0,0.0,9.0,9.0,14.0,Physicist,-0.10315036303645406
BRS0734,2010-01-02,2,1.0,2.0,1,4.0,0.0,13.0,0.0,0.0,0.0,162.0,0.0,3.0,10.0,2.0,10.0,10.0,19.0,Salesman,0.3060351511584167
BQS0525,2010-01-02,2,0.0,2.0,1,12.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0
DAR0885,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,6.0,Technician,0.0
ALB0892,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0,Technician,0.0
BSS0369,2010-01-03,4,2.0,4.0,2,18.0,2.0,10.0,0.0,0.0,5.0,120.0,0.0,0.0,10.0,6.0,10.0,9.0,18.0,ITAdmin,-0.46838295318850776
QOS0878,2010-01-03,3,1.0,3.0,1,2.0,2.0,0.0,0.0,0.0,0.0,162.0,6.0,7.0,14.0,2.0,14.0,13.0,21.0,Salesman,0.0
MAD0496,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,0.0,15.0,2.0,15.0,14.0,25.0,Salesman,0.0
MCD0125,2010-01-03,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,2.0,9.0,6.0,9.0,9.0,18.0,MechanicalEngineer,0.0
MCF0600,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,ProductionLineWorker,0.0
LDD0560,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,10.0,1.0,10.0,10.0,17.0,ComputerScientist,0.0
BQS0525,2010-01-03,2,0.0,2.0,1,18.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,2.0,3.0,3.0,7.0,Technician,0.0
DAR0885,2010-01-03,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,Technician,0.0
