user,day,logon_count,after_hours_logon_count,weekend_logon_count,unique_pc_count,device_connect_count,after_hours_device_count,file_access_count,file_copy_count,sensitive_file_count,after_hours_file_count,http_count,suspicious_http_count,after_hours_http_count,email_sent_count,external_email_count,attachment_email_count,unique_recipient_count,total_recipient_count,role,role_peer_deviation_score,user_day_label,actor_label,scenario
NGF0157,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,9.0,9.0,6.0,9.0,8.0,15.0,FinancialAnalyst,0.0,0,0,
IRM0931,2010-01-02,5,1.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,13.0,9.0,6.0,9.0,9.0,15.0,ComputerProgrammer,0.0,0,0,
LAP0338,2010-01-02,2,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,12.0,3.0,2.0,3.0,3.0,4.0,Technician,0.0,0,0,
MHH0180,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,Technician,0.0,0,0,
AHC0142,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,9.0,8.0,9.0,6.0,15.0,Engineer,0.0,0,0,
ABC0174,2010-01-02,3,1.0,3.0,1,4.0,0.0,2.0,0.0,0.0,0.0,162.0,2.0,17.0,15.0,11.0,15.0,15.0,21.0,Salesman,-0.7761973688701879,0,1,r4.2-2
HAD0246,2010-01-02,3,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,95.0,3.0,0.0,10.0,0.0,10.0,10.0,19.0,MechanicalEngineer,0.0,0,0,
RRC0553,2010-01-02,3,1.0,3.0,1,6.0,0.0,23.0,0.0,0.0,0.0,95.0,0.0,11.0,9.0,0.0,9.0,9.0,14.0,Physicist,1.48285890229233,0,0,
IKP0472,2010-01-02,5,3.0,5.0,2,2.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,ProductionLineWorker,-0.43458847611335755,0,0,
BRS0734,2010-01-02,2,1.0,2.0,1,4.0,0.0,13.0,0.0,0.0,0.0,162.0,0.0,3.0,10.0,2.0,10.0,10.0,19.0,Salesman,0.49099945000776357,0,0,
YIC0195,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,11.0,7.0,11.0,11.0,17.0,PurchasingClerk,0.0,0,0,
NAH0503,2010-01-02,2,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,15.0,10.0,15.0,15.0,29.0,Salesman,0.0,0,0,
AOK0844,2010-01-02,2,1.0,2.0,1,2.0,2.0,7.0,0.0,0.0,7.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,ProductionLineWorker,-0.06297646039078783,0,0,
FKK0055,2010-01-02,3,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.0,0.0,8.0,5.0,8.0,8.0,16.0,Scientist,0.0,0,0,
