user,day,user_day_label,actor_label,embedding_ocsvm_score,pred_alert
NMS0280,2010-11-12,0,0,-21.636468219810354,0
KMW0545,2010-08-11,0,0,-11.412087795494585,0
KAL0395,2011-02-08,0,0,-24.807196996693733,0
TEB0251,2010-12-02,0,0,-20.725074544239533,0
JRL0574,2011-02-24,0,0,-2.2832896928276796,0
MTB0620,2011-04-04,0,0,-2.1129150029706807,0
WAS0254,2010-10-22,0,0,-19.024678020162355,0
CCR0863,2010-02-04,0,0,-4.652821040182744,0
LFS0071,2010-06-04,0,0,-6.61868957249942,0
FRB0023,2010-12-28,0,0,-21.65072752713445,0
HWM0342,2010-07-15,0,0,-21.57316332038681,0
CGB0637,2010-04-06,0,0,-16.6205022148647,0
HJB0742,2010-10-06,0,1,-8.067549530363863,0
CCA0046,2010-09-14,0,1,-15.355401464087095,0
CJV0286,2010-08-10,0,0,-21.436374009158044,0
RNF0765,2010-03-08,0,0,-19.591256246888634,0
ONL0276,2010-10-25,0,0,-24.010200655175368,0
UCH0519,2010-11-02,0,0,-21.335937955741997,0
CSL0949,2010-07-29,0,0,-0.3858800300046141,0
ARL0034,2010-09-08,0,0,1.0524020475307907,0
XBN0229,2010-03-30,0,0,-22.05501076618316,0
IIL0513,2010-09-06,0,0,-20.929514709916475,0
CCM0136,2011-05-13,0,0,-3.295794890624734,0
ATE0869,2010-03-21,0,0,-1.2136078450117793,0
BEC0505,2010-05-20,0,0,-7.160965921774618,0
JSH0330,2010-08-02,0,0,-16.72019326621819,0
CTW0500,2010-10-15,0,0,-7.674047375279201,0
SSS0345,2011-05-09,0,0,-18.76610081770889,0
WAB0143,2010-12-15,0,0,-21.15404281325914,0
PES0085,2010-08-12,0,0,-27.138735268031724,0
DMM0623,2010-10-01,0,0,-6.612026911162047,0
CUD0795,2010-12-07,0,0,-10.855842007639922,0
RSC0089,2010-10-11,0,0,-13.33776770236409,0
AIP0394,2010-06-11,0,0,-8.16813408226551,0
LBF0214,2010-03-09,0,0,0.3514145885025073,0
ESJ0670,2010-10-07,0,0,-22.05501076618316,0
PBP0002,2011-03-31,0,0,-26.88133290424412,0
ELH0960,2011-03-31,0,0,5.1538075130462175,0
CMW0783,2011-01-05,0,0,-20.291306403365866,0
CCH0182,2010-04-06,0,0,-20.257237963667762,0
LLV0602,2010-07-21,0,0,-6.317317714837259,0
NCH0179,2010-10-28,0,0,-27.238249543069855,0
PIS0522,2010-12-28,0,0,-21.059537182527492,0
NCH0179,2010-10-01,0,0,-26.89536738861659,0
ORB0473,2010-02-01,0,0,-0.029480686207648432,0
ASB0796,2010-08-13,0,0,-3.04644546316581,0
CEJ0109,2010-07-01,0,1,-9.105123397954117,0
RUM0880,2010-09-15,0,0,-1.0956278725124093,0
KRV0372,2010-04-16,0,0,-22.387613888179658,0
BDV0168,2010-07-28,0,1,-3.958329682871181,0
JOL0024,2010-04-15,0,0,-26.663756421247513,0
CAB0614,2011-05-04,0,0,-3.9921478457325748,0
ZJE0857,2010-12-08,0,0,-4.324908447877192,0
GTD0898,2011-04-11,0,0,-16.777136984824438,0
AQD0820,2010-06-07,0,0,-7.070295066731887,0
MBW0809,2010-01-13,0,0,-25.45888675060837,0
BAK0964,2010-07-30,0,0,-0.22543925009529175,0
CBG0490,2010-09-07,0,0,-4.312235952065521,0
WPE0538,2011-03-01,0,0,-0.1842952546713832,0
CRK0916,2010-11-24,0,0,-9.286456461169564,0
BSH0445,2011-04-06,0,0,-10.394913056448445,0
WVB0539,2010-06-30,0,0,-23.491690261636677,0
WAB0143,2010-01-05,0,0,-21.42535836815057,0
ASG0048,2010-02-26,0,0,-27.764477490601053,0
GHH0288,2011-05-05,0,0,-2.8653006402831807,0
AAN0823,2011-03-17,0,0,-0.22543925009529175,0
GCS0518,2010-07-29,0,0,-20.88987158352893,0
MVF0594,2010-11-15,0,0,-0.029480686207648432,0
NBH0256,2010-06-04,0,0,-21.173114134607545,0
EBC0390,2010-03-11,0,0,-22.39106126831507,0
ALC0788,2011-02-15,0,0,-1.1704133919139394,0
BLL0929,2011-02-11,0,0,-26.297435350104934,0
BJH0354,2011-04-29,0,0,-26.884844314913153,0
JNJ0556,2010-01-22,0,0,-21.248458264888768,0
KVS0425,2010-09-07,0,0,-6.419107747673365,0
NSC0597,2010-02-10,0,0,-0.4596809819545342,0
KKC0683,2010-11-24,0,0,-4.301193993250422,0
PRM0740,2011-04-18,0,0,-7.015363999778742,0
KLM0639,2010-06-03,0,0,-20.073937001438367,0
MHG0733,2010-06-08,0,0,-6.335084495972978,0
BLB0114,2010-03-23,0,0,-16.691274374657496,0
JAM0382,2010-07-19,0,0,-22.015003498975375,0
AJD0074,2010-08-12,0,0,-28.488885304334303,0
CBG0490,2011-04-28,0,0,-4.933722583950157,0
BXJ0010,2011-02-16,0,0,-19.09162298636386,0
MJB0588,2011-02-09,0,0,-1.2191903865591485,0
HDD0789,2010-05-03,0,0,-25.435503668024012,0
XHG0902,2010-04-05,0,0,-14.631135209324725,0
TJB0302,2010-06-02,0,0,-0.4596809819545342,0
AJN0607,2010-06-10,0,0,-2.3826491418586784,0
KKS0119,2010-05-24,0,0,-24.337972926011503,0
CJM0521,2011-02-13,0,0,-17.669642773660144,0
LDG0459,2010-07-06,0,0,-3.025051791309693,0
FBW0747,2010-06-25,0,0,-2.3997071232000735,0
SCF0608,2010-01-29,0,0,-5.894480025868347,0
CSJ0340,2010-09-13,0,0,-21.79251831456577,0
GRM0868,2010-10-12,0,0,-5.277406995678803,0
IJW0851,2011-01-21,0,0,-3.331911991288166,0
HMW0713,2010-01-26,0,0,-1.1703446480004231,0
OSH0655,2011-05-04,0,0,-19.74394886009759,0
DDM0579,2010-07-13,0,0,-0.029480686207648432,0
TAC0300,2010-06-28,0,0,-0.7224114404158399,0
AIM0627,2010-03-04,0,0,-3.3613757966636513,0
PGO0433,2010-09-15,0,0,-9.926961510723572,0
AJH0175,2010-07-03,0,0,-0.055063473220911874,0
CJV0286,2011-04-15,0,0,-22.01558496769303,0
SAK0375,2010-10-27,0,0,-22.234884152739596,0
DJB0159,2010-04-09,0,0,-18.75432623409847,0
JKF0465,2010-08-01,0,0,-0.5929259581782844,0
