dataset,subcategory,n,positives,precision,recall,F1
kurdi_smart_building,ACCESS_SYSTEM_STATUS,1,0,0.0,0.0,0.0
kurdi_smart_building,ADMIN_PROCESS_REMINDER,1,0,0.0,0.0,0.0
kurdi_smart_building,ADMIN_REMINDER,1,0,0.0,0.0,0.0
kurdi_smart_building,BMS_ACCESS_REQUEST,10,10,0.0,0.0,0.0
kurdi_smart_building,CLEANING_REPORT,1,0,0.0,0.0,0.0
kurdi_smart_building,DATA_EXTRACTION_REQUEST,10,10,0.0,0.0,0.0
kurdi_smart_building,DIGITAL_SYSTEM_STATUS,1,0,0.0,0.0,0.0
kurdi_smart_building,EMERGENCY_SYSTEM_TAMPERING,10,10,0.0,0.0,0.0
kurdi_smart_building,ENERGY_OPTIMIZATION_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,ENERGY_REPORT,1,0,0.0,0.0,0.0
kurdi_smart_building,ENERGY_SCHEDULE_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,ENVIRONMENTAL_MONITORING,2,0,0.0,0.0,0.0
kurdi_smart_building,FACILITY_GUIDELINE,1,0,0.0,0.0,0.0
kurdi_smart_building,FACILITY_MAINTENANCE,1,0,0.0,0.0,0.0
kurdi_smart_building,FACILITY_UPGRADE,1,0,0.0,0.0,0.0
kurdi_smart_building,FEEDBACK_REQUEST,1,0,0.0,0.0,0.0
kurdi_smart_building,IAM_PRIVILEGE_ESCALATION,10,10,0.0,0.0,0.0
kurdi_smart_building,INVENTORY_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,IOT_DEVICE_ACCESS,10,10,0.0,0.0,0.0
kurdi_smart_building,JANITORIAL_REPORT,2,0,0.0,0.0,0.0
kurdi_smart_building,LOGISTICS_SCHEDULING,1,0,0.0,0.0,0.0
kurdi_smart_building,LOGS_AND_MONITORING_REQUEST,10,10,0.0,0.0,0.0
kurdi_smart_building,MAINTENANCE_COMPLETION,1,0,0.0,0.0,0.0
kurdi_smart_building,MAINTENANCE_REPORT,2,0,0.0,0.0,0.0
kurdi_smart_building,MAINTENANCE_REQUEST_REMINDER,1,0,0.0,0.0,0.0
kurdi_smart_building,MAINTENANCE_SCHEDULE,1,0,0.0,0.0,0.0
kurdi_smart_building,MEETING_REMINDER,1,0,0.0,0.0,0.0
kurdi_smart_building,MEETING_SCHEDULING,1,0,0.0,0.0,0.0
kurdi_smart_building,NETWORK_CONFIGURATION_REQUEST,10,10,0.0,0.0,0.0
kurdi_smart_building,NETWORK_STATUS_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,OCCUPANCY_REPORT,1,0,0.0,0.0,0.0
kurdi_smart_building,PHYSICAL_SECURITY_SYSTEM_ACCESS,10,10,0.0,0.0,0.0
kurdi_smart_building,ROOM_BOOKING_CONFIRMATION,1,0,0.0,0.0,0.0
kurdi_smart_building,ROUTINE_BUILDING_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,SAFETY_COMPLIANCE_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,SAFETY_DRILL_NOTICE,1,0,0.0,0.0,0.0
kurdi_smart_building,SCHEDULING_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,SECURITY_LIGHTING_TEST,1,0,0.0,0.0,0.0
kurdi_smart_building,SECURITY_POLICY_BYPASS,10,10,0.0,0.0,0.0
kurdi_smart_building,SECURITY_ROUND_REPORT,1,0,0.0,0.0,0.0
kurdi_smart_building,SENSOR_STATUS,1,0,0.0,0.0,0.0
kurdi_smart_building,SYSTEM_PLANNING,1,0,0.0,0.0,0.0
kurdi_smart_building,SYSTEM_SYNC_UPDATE,1,0,0.0,0.0,0.0
kurdi_smart_building,TRAINING_ATTENDANCE,1,0,0.0,0.0,0.0
kurdi_smart_building,UTILITIES_MONITORING,1,0,0.0,0.0,0.0
kurdi_smart_building,VENDOR_REMOTE_ACCESS_REQUEST,10,10,0.0,0.0,0.0
kurdi_smart_building,WASTE_MANAGEMENT_SCHEDULE,1,0,0.0,0.0,0.0
