dataset,subcategory,n,positives,precision,recall,F1
municipal_v2,alarm_and_trends,138,0,0.0,0.0,0.0
municipal_v2,approved_emergency_alarm_testing,34,0,0.0,0.0,0.0
municipal_v2,approved_firmware_update,37,0,0.0,0.0,0.0
municipal_v2,approved_invoice_banking_update,45,0,0.0,0.0,0.0
municipal_v2,approved_log_export_audit,34,0,0.0,0.0,0.0
municipal_v2,approved_remote_support,38,0,0.0,0.0,0.0
municipal_v2,approved_temporary_security_exception,36,0,0.0,0.0,0.0
municipal_v2,approved_vendor_vpn,34,0,0.0,0.0,0.0
municipal_v2,audit_log_export,47,0,0.0,0.0,0.0
municipal_v2,backup_and_export,75,0,0.0,0.0,0.0
municipal_v2,comfort_and_equipment,180,0,0.0,0.0,0.0
municipal_v2,credential_harvest,82,82,0.0,0.0,0.0
municipal_v2,energy_and_air_quality,122,0,0.0,0.0,0.0
municipal_v2,fake_remote_support,49,49,0.0,0.0,0.0
municipal_v2,internal_approval,119,0,0.0,0.0,0.0
municipal_v2,invoice_payment_fraud,56,56,0.0,0.0,0.0
municipal_v2,legitimate_password_reset,42,0,0.0,0.0,0.0
municipal_v2,maintenance_window,124,0,0.0,0.0,0.0
municipal_v2,malicious_firmware,62,62,0.0,0.0,0.0
municipal_v2,policy_bypass_lure,51,51,0.0,0.0,0.0
municipal_v2,policy_review,73,0,0.0,0.0,0.0
municipal_v2,preventive_maintenance,118,0,0.0,0.0,0.0
municipal_v2,procurement_updates,81,0,0.0,0.0,0.0
municipal_v2,schedule_and_setpoint,127,0,0.0,0.0,0.0
municipal_v2,software_and_firmware,95,0,0.0,0.0,0.0
municipal_v2,vendor_access,101,0,0.0,0.0,0.0
