dataset,threshold_name,threshold_value,precision,recall,F1,predicted_positive_rate,ROC-AUC,PR-AUC
municipal_v1,enron_f1_optimized,0.98,0.0,0.0,0.0,0.0,0.5866509803921569,0.18828120072502735
municipal_v1,default_0_50,0.5,0.0,0.0,0.0,0.0,0.5866509803921569,0.18828120072502735
municipal_v1,mesa_runtime_0_002,0.002,0.15,1.0,0.2608695652173913,1.0,0.5866509803921569,0.18828120072502735
municipal_v1,target_oracle_best_f1_upper_bound,0.0037232786006978756,0.19137931034482758,0.74,0.3041095890410959,0.58,0.5866509803921569,0.18828120072502735
municipal_v1,target_calibrated_heldout,0.00374280160031312,0.16835016835016836,0.6666666666666666,0.26881720430107525,0.594,0.5282196078431373,0.16799144873706098
municipal_v2,enron_f1_optimized,0.98,0.0,0.0,0.0,0.0,0.44621960784313724,0.12796168206317396
municipal_v2,default_0_50,0.5,0.0,0.0,0.0,0.0,0.44621960784313724,0.12796168206317396
municipal_v2,mesa_runtime_0_002,0.002,0.15,1.0,0.2608695652173913,1.0,0.44621960784313724,0.12796168206317396
municipal_v2,target_oracle_best_f1_upper_bound,0.0032638534180122235,0.15485564304461943,0.9833333333333333,0.2675736961451247,0.9525,0.44621960784313724,0.12796168206317396
municipal_v2,target_calibrated_heldout,0.003329566888943843,0.15148305084745764,0.9533333333333334,0.26142595978062155,0.944,0.4451607843137255,0.12777529874882962
kurdi_smart_building,enron_f1_optimized,0.98,0.0,0.0,0.0,0.0,0.6325,0.8034971227420615
kurdi_smart_building,default_0_50,0.5,0.0,0.0,0.0,0.0,0.6325,0.8034971227420615
kurdi_smart_building,mesa_runtime_0_002,0.002,0.7142857142857143,1.0,0.8333333333333334,1.0,0.6325,0.8034971227420615
kurdi_smart_building,target_oracle_best_f1_upper_bound,0.0027344237170202046,0.7246376811594203,1.0,0.8403361344537815,0.9857142857142858,0.6325,0.8034971227420615
kurdi_smart_building,target_calibrated_heldout,0.0027344237170202046,0.7246376811594203,1.0,0.8403361344537815,0.9857142857142858,0.676,0.8196504703307794
