agent_count_human,simulation_steps,run_id,random_seed,model_fidelity,status,error_message,n_emp,n_power,n_exfil,n_stealth,n_takeover,n_staging,n_email,total_agents_including_system,runtime_seconds,peak_memory_mb,peak_python_memory_mb,peak_rss_memory_mb,total_events_generated,events_per_second,confirmed_alerts,early_alerts,confirmed_false_positives,actor_precision,actor_recall,actor_f1,ttd_avg_steps,ttd_max_steps
42,240,1,42,rich,completed,,30,4,3,2,1,1,1,46,37.12440370799595,7.002680778503418,7.002680778503418,0.0,4195,112.9984479480399,42,120,0,1.0,0.875,0.9333333333333333,23.142857142857142,58
42,240,2,43,rich,completed,,30,4,3,2,1,1,1,46,38.03873604199907,6.15207576751709,6.15207576751709,0.0,4127,108.4946670005892,37,123,0,1.0,0.875,0.9333333333333333,71.14285714285714,192
42,240,3,44,rich,completed,,30,4,3,2,1,1,1,46,56.0470787499944,6.755577087402344,6.755577087402344,0.0,4206,75.044053924049,35,123,0,1.0,0.875,0.9333333333333333,42.0,154
100,240,1,42,rich,completed,,75,10,3,3,3,3,3,104,58.50804670899379,11.928403854370117,11.928403854370117,0.0,10283,175.75360276758838,79,292,0,1.0,0.8,0.888888888888889,62.5,228
100,240,2,43,rich,completed,,75,10,3,3,3,3,3,104,59.043012959002226,12.802977561950684,12.802977561950684,0.0,10017,169.65597617715608,79,302,0,1.0,0.8,0.888888888888889,29.833333333333332,106
100,240,3,44,rich,completed,,75,10,3,3,3,3,3,104,59.16930912499811,13.059804916381836,13.059804916381836,0.0,10219,172.7077796093893,76,299,0,1.0,0.7333333333333333,0.846153846153846,39.81818181818182,152
100,480,1,42,rich,completed,,75,10,3,3,3,3,3,104,118.82880149999983,20.0098876953125,20.0098876953125,0.0,21062,177.2465911810112,170,641,0,1.0,0.8,0.888888888888889,62.5,228
100,480,2,43,rich,completed,,75,10,3,3,3,3,3,104,122.0401579169993,22.27841854095459,22.27841854095459,0.0,20778,170.25543357729282,171,659,0,1.0,0.8,0.888888888888889,29.833333333333332,106
100,480,3,44,rich,completed,,75,10,3,3,3,3,3,104,121.94396183299978,20.394235610961914,20.394235610961914,0.0,20932,171.65261555685737,176,656,0,1.0,0.8,0.888888888888889,73.16666666666667,440
250,480,1,42,rich,completed,,187,25,8,8,8,7,7,254,126.12401508400217,46.248353004455566,46.248353004455566,0.0,52403,415.4878828199223,372,1675,0,1.0,0.7894736842105263,0.8823529411764706,66.6,342
250,480,2,43,rich,completed,,187,25,8,8,8,7,7,254,125.66873195800144,44.186095237731934,44.186095237731934,0.0,52039,414.0966427304404,359,1582,0,1.0,0.7894736842105263,0.8823529411764706,64.06666666666666,538
250,480,3,44,rich,completed,,187,25,8,8,8,7,7,254,126.16275041599874,44.40919208526611,44.40919208526611,0.0,51456,407.8541394376168,380,1567,1,0.967741935483871,0.7894736842105263,0.8695652173913043,79.13333333333334,440
500,480,1,42,rich,completed,,375,50,15,15,15,15,15,504,135.24517858299805,84.96719741821289,84.96719741821289,0.0,100985,746.680961628713,690,2845,0,1.0,0.7866666666666666,0.8805970149253731,78.44067796610169,460
500,480,2,43,rich,completed,,375,50,15,15,15,15,15,504,136.79100187500444,83.69331741333008,83.69331741333008,0.0,101097,739.0617702499134,710,2934,3,0.967741935483871,0.8,0.8759124087591241,52.53333333333333,298
500,480,3,44,rich,completed,,375,50,15,15,15,15,15,504,137.40694966699812,85.14299583435059,85.14299583435059,0.0,101988,742.2332003378654,687,2948,0,1.0,0.8,0.888888888888889,54.63333333333333,222
1000,480,1,42,rich,completed,,750,100,30,30,30,30,30,1004,157.971468542004,158.47095394134521,158.47095394134521,0.0,194862,1233.5265462711511,1104,5235,1,0.9917355371900827,0.8,0.8856088560885609,53.61666666666667,296
