variant,seed,actor_precision,actor_recall,actor_f1,ttd_avg,ttd_max,confirmed_alerts,confirmed_alert_precision,confirmed_fp_per_run,status,error
LSC,42,0.4117647058823529,0.875,0.56,16.857142857142858,64.0,100,0.69,31,ok,
LSC,43,0.47058823529411764,1.0,0.6399999999999999,33.25,140.0,108,0.7129629629629629,31,ok,
LSC,44,0.3684210526315789,0.875,0.5185185185185185,42.57142857142857,130.0,74,0.5675675675675675,32,ok,
LSC,45,0.35,0.875,0.4999999999999999,10.571428571428571,36.0,112,0.6785714285714286,36,ok,
LSC,46,0.36363636363636365,1.0,0.5333333333333333,24.5,72.0,122,0.7213114754098361,34,ok,
LSC,47,0.38095238095238093,1.0,0.5517241379310345,44.25,150.0,92,0.6195652173913043,35,ok,
LSC,48,0.47058823529411764,1.0,0.6399999999999999,7.25,18.0,125,0.76,30,ok,
LSC,49,0.3888888888888889,0.875,0.5384615384615385,6.571428571428571,16.0,116,0.7155172413793104,33,ok,
LSC,50,0.4,1.0,0.5714285714285715,7.0,34.0,115,0.6695652173913044,38,ok,
LSC,51,0.4444444444444444,1.0,0.6153846153846153,11.75,38.0,109,0.6605504587155964,37,ok,
CE-SIEM,42,0.6153846153846154,1.0,0.761904761904762,27.5,122.0,153,0.6666666666666666,51,ok,
CE-SIEM,43,0.6666666666666666,1.0,0.8,12.5,40.0,145,0.7172413793103448,41,ok,
CE-SIEM,44,0.6153846153846154,1.0,0.761904761904762,6.5,10.0,167,0.6167664670658682,64,ok,
CE-SIEM,45,0.6666666666666666,1.0,0.8,15.75,62.0,144,0.7152777777777778,41,ok,
CE-SIEM,46,0.6666666666666666,1.0,0.8,15.75,70.0,161,0.6645962732919255,54,ok,
CE-SIEM,47,0.6666666666666666,1.0,0.8,13.25,64.0,146,0.6917808219178082,45,ok,
CE-SIEM,48,0.6666666666666666,1.0,0.8,15.0,62.0,144,0.7152777777777778,41,ok,
CE-SIEM,49,0.6153846153846154,1.0,0.761904761904762,21.0,68.0,162,0.6666666666666666,54,ok,
CE-SIEM,50,0.5333333333333333,1.0,0.6956521739130436,14.0,58.0,144,0.6666666666666666,48,ok,
CE-SIEM,51,0.6153846153846154,1.0,0.761904761904762,15.5,54.0,154,0.6493506493506493,54,ok,
EG-SIEM,42,1.0,0.875,0.9333333333333333,23.142857142857142,58.0,42,1.0,0,ok,
EG-SIEM,43,1.0,0.875,0.9333333333333333,71.14285714285714,192.0,37,1.0,0,ok,
EG-SIEM,44,1.0,0.875,0.9333333333333333,42.0,154.0,35,1.0,0,ok,
EG-SIEM,45,1.0,0.875,0.9333333333333333,55.142857142857146,176.0,38,1.0,0,ok,
EG-SIEM,46,1.0,0.625,0.7692307692307693,58.4,188.0,34,1.0,0,ok,
EG-SIEM,47,1.0,0.875,0.9333333333333333,84.28571428571429,198.0,32,1.0,0,ok,
EG-SIEM,48,0.8571428571428571,0.75,0.7999999999999999,56.0,124.0,40,0.975,1,ok,
EG-SIEM,49,0.875,0.875,0.875,66.28571428571429,202.0,31,0.967741935483871,1,ok,
EG-SIEM,50,1.0,0.875,0.9333333333333333,49.142857142857146,104.0,35,1.0,0,ok,
EG-SIEM,51,1.0,0.875,0.9333333333333333,24.285714285714285,56.0,38,1.0,0,ok,
EG-SIEM-Enron,42,0.6363636363636364,0.875,0.7368421052631579,48.857142857142854,280.0,103,0.6796116504854369,33,ok,
EG-SIEM-Enron,43,0.6363636363636364,0.875,0.7368421052631579,38.57142857142857,148.0,113,0.6106194690265486,44,ok,
EG-SIEM-Enron,44,0.6363636363636364,0.875,0.7368421052631579,27.428571428571427,84.0,107,0.6261682242990654,40,ok,
EG-SIEM-Enron,45,0.6363636363636364,0.875,0.7368421052631579,8.857142857142858,26.0,122,0.5655737704918032,53,ok,
EG-SIEM-Enron,46,0.6363636363636364,0.875,0.7368421052631579,21.714285714285715,72.0,114,0.6052631578947368,45,ok,
EG-SIEM-Enron,47,0.6363636363636364,0.875,0.7368421052631579,26.0,86.0,110,0.7,33,ok,
EG-SIEM-Enron,48,0.6363636363636364,0.875,0.7368421052631579,7.142857142857143,18.0,116,0.646551724137931,41,ok,
EG-SIEM-Enron,49,0.6363636363636364,0.875,0.7368421052631579,51.142857142857146,220.0,105,0.6761904761904762,34,ok,
EG-SIEM-Enron,50,0.6363636363636364,0.875,0.7368421052631579,46.57142857142857,192.0,126,0.5555555555555556,56,ok,
EG-SIEM-Enron,51,0.6363636363636364,0.875,0.7368421052631579,20.571428571428573,64.0,114,0.6403508771929824,41,ok,
