variant,run,seed,actor_precision,actor_recall,actor_f1,ttd_avg,ttd_max,confirmed_alerts,confirmed_alert_precision,confirmed_fp_per_run,source_file,source_note
EG-SIEM,1,42,1.0,0.875,0.9333333333333332,23.142857142857142,58.0,42,,,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results/scalability/mesa_scalability_raw.csv,"EG-SIEM rich config from scalability runner, 42 human agents, 240 steps; 3 run-level rows."
EG-SIEM,2,43,1.0,0.875,0.9333333333333332,71.14285714285714,192.0,37,,,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results/scalability/mesa_scalability_raw.csv,"EG-SIEM rich config from scalability runner, 42 human agents, 240 steps; 3 run-level rows."
EG-SIEM,3,44,1.0,0.875,0.9333333333333332,42.0,154.0,35,,,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results/scalability/mesa_scalability_raw.csv,"EG-SIEM rich config from scalability runner, 42 human agents, 240 steps; 3 run-level rows."
EG-SIEM-Enron,1,42,1.0,0.7142857142857143,0.8333333333333333,142.8,370.0,17,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,2,43,1.0,0.42857142857142855,0.6,110.0,314.0,20,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,3,44,1.0,0.2857142857142857,0.4444444444444445,13.0,20.0,24,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,4,45,1.0,0.42857142857142855,0.6,68.66666666666667,150.0,28,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,5,46,1.0,0.42857142857142855,0.6,69.33333333333333,104.0,11,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,6,47,1.0,0.2857142857142857,0.4444444444444445,25.0,50.0,7,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,7,48,1.0,0.2857142857142857,0.4444444444444445,37.0,54.0,37,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,8,49,1.0,0.7142857142857143,0.8333333333333333,35.2,80.0,23,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,9,50,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
EG-SIEM-Enron,10,51,1.0,0.5714285714285714,0.7272727272727273,177.0,258.0,23,1.0,0.0,/Users/firdous/Documents/SmartCitiesSimulation/Insider-Threat-Detection-MAS-SIEM-main/results_eg_siem_enron_fixed.json,"EG-SIEM-Enron run-level JSON. Important: config reports preset='forensics_primary', forensics_mode='keyword_only', population_kwargs={'n_takeover': 0}; compare cautiously."
