variant,run,seed,steps,warmup,runtime_seconds,note,actor_precision,actor_recall,actor_f1,ttd_avg,ttd_max,confirmed_alerts,confirmed_alert_precision,confirmed_fp_per_run,early_alerts,early_tp,actors_total,actors_detected,tom_assisted_detections,early_alert_precision,early_alerts_total,early_alerts_fp,conf_alert_precision,conf_alerts_total,conf_alerts_fp,tom_detected_count
"LSC baseline: no ToM, no email forensics",1,42,240,60,2.5240397919988027,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.4117647058823529,0.875,0.56,16.857142857142858,64.0,100.0,0.69,31.0,122.0,76.0,8.0,7.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",2,43,240,60,1.6882732910016784,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.47058823529411764,1.0,0.6399999999999999,33.25,140.0,108.0,0.7129629629629629,31.0,122.0,80.0,8.0,8.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",3,44,240,60,2.0785674579965416,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.3684210526315789,0.875,0.5185185185185185,42.57142857142857,130.0,74.0,0.5675675675675675,32.0,117.0,57.0,8.0,7.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",4,45,240,60,1.882248083005834,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.35,0.875,0.4999999999999999,10.571428571428571,36.0,112.0,0.6785714285714286,36.0,134.0,87.0,8.0,7.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",5,46,240,60,1.8354279580016737,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.36363636363636365,1.0,0.5333333333333333,24.5,72.0,122.0,0.7213114754098361,34.0,133.0,89.0,8.0,8.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",6,47,240,60,1.8284855829988373,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.38095238095238093,1.0,0.5517241379310345,44.25,150.0,92.0,0.6195652173913043,35.0,118.0,68.0,8.0,8.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",7,48,240,60,1.8649519160026102,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.47058823529411764,1.0,0.6399999999999999,7.25,18.0,125.0,0.76,30.0,143.0,101.0,8.0,8.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",8,49,240,60,1.8598633750007139,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.3888888888888889,0.875,0.5384615384615385,6.571428571428571,16.0,116.0,0.7155172413793104,33.0,146.0,88.0,8.0,7.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",9,50,240,60,2.2441368750005495,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.4,1.0,0.5714285714285715,7.0,34.0,115.0,0.6695652173913044,38.0,142.0,82.0,8.0,8.0,0.0,,,,,,,
"LSC baseline: no ToM, no email forensics",10,51,240,60,2.329887416002748,LSC has no ToM/email-forensics toggles in current code; this is the baseline-only variant.,0.4444444444444444,1.0,0.6153846153846153,11.75,38.0,109.0,0.6605504587155964,37.0,140.0,78.0,8.0,8.0,0.0,,,,,,,
CE-SIEM: ToM + email/forensics,1,42,240,60,8.652559541995288,CE-SIEM exposes use_tom and use_forensics toggles.,0.6153846153846154,1.0,0.761904761904762,27.5,122.0,,,,,,8.0,8.0,,0.6666666666666666,153.0,51.0,0.6666666666666666,153.0,51.0,112.0
CE-SIEM: ToM + email/forensics,2,43,240,60,6.160836791001202,CE-SIEM exposes use_tom and use_forensics toggles.,0.6666666666666666,1.0,0.8,12.5,40.0,,,,,,8.0,8.0,,0.7172413793103448,145.0,41.0,0.7172413793103448,145.0,41.0,104.0
CE-SIEM: ToM + email/forensics,3,44,240,60,8.390039332996821,CE-SIEM exposes use_tom and use_forensics toggles.,0.6153846153846154,1.0,0.761904761904762,6.5,10.0,,,,,,8.0,8.0,,0.6167664670658682,167.0,64.0,0.6167664670658682,167.0,64.0,126.0
