config,threshold,actor_precision,actor_recall,actor_f1,ttd_avg_conf,ttd_max_conf,early_alert_precision,early_alerts_total,early_alerts_fp,conf_alert_precision,conf_alerts_total,conf_alerts_fp,actors_total
full,3,0.34515752490580864,0.9125,0.49990442054958184,13.092023809523809,49.8,0.4794194757031354,85.9,44.7,0.5295514300213073,82.7,38.7,42.0
full,4,0.36928681464958213,0.8875,0.5208032983783818,12.578095238095239,45.3,0.4818974207986093,96.3,50.1,0.543327650734778,69.7,31.6,42.0
full,5,0.3782761437908497,0.8125,0.5153472110098797,22.56047619047619,81.0,0.5031155582992086,106.0,53.0,0.5481611336973666,56.2,25.1,42.0
full,6,0.4050987574516986,0.7625,0.5280272191576539,27.096190476190475,85.9,0.5218567246352072,111.2,53.4,0.5710854356324739,44.6,18.9,42.0
full,7,0.4624585218702865,0.75,0.5699261196469434,39.12976190476191,116.4,0.5208791243215496,111.4,53.6,0.6286196023795865,35.0,12.8,42.0
full_no_ml,3,0.34515752490580864,0.9125,0.49990442054958184,13.092023809523809,49.8,0.4781306637312327,85.7,44.7,0.5295514300213073,82.7,38.7,42.0
full_no_ml,4,0.36928681464958213,0.8875,0.5208032983783818,12.578095238095239,45.3,0.4808719572997594,96.1,50.1,0.543327650734778,69.7,31.6,42.0
full_no_ml,5,0.3782761437908497,0.8125,0.5153472110098797,22.56047619047619,81.0,0.5031155582992086,106.0,53.0,0.5481611336973666,56.2,25.1,42.0
full_no_ml,6,0.4050987574516986,0.7625,0.5280272191576539,27.096190476190475,85.9,0.5214835405754977,111.1,53.4,0.5700401394652266,44.5,18.9,42.0
full_no_ml,7,0.4624585218702865,0.75,0.5699261196469434,39.12976190476191,116.4,0.5208791243215496,111.4,53.6,0.6286196023795865,35.0,12.8,42.0
policy,3,0.32711273957841464,0.9625,0.4873270438106367,16.57202380952381,68.7,0.5208791243215496,111.4,53.6,0.5208791243215496,111.4,53.6,42.0
policy,4,0.33204883971016697,0.9625,0.4928048052964627,16.57202380952381,68.7,0.5208791243215496,111.4,53.6,0.537017499505103,108.3,50.5,42.0
policy,5,0.3656438527147909,0.9625,0.5288778604907638,25.95416666666667,79.6,0.5208791243215496,111.4,53.6,0.6142499019130924,91.5,35.7,42.0
policy,6,0.5444172494172494,0.925,0.6823918491881878,47.50476190476191,117.9,0.5208791243215496,111.4,53.6,0.8490171924219272,59.5,9.0,42.0
policy,7,0.9633333333333333,0.5625,0.7054612054612055,113.37333333333333,174.1,0.5208791243215496,111.4,53.6,0.9842424242424241,12.2,0.2,42.0
policy+baseline,3,0.32711273957841464,0.9625,0.4873270438106367,16.57202380952381,68.7,0.5208791243215496,111.4,53.6,0.5208791243215496,111.4,53.6,42.0
policy+baseline,4,0.33204883971016697,0.9625,0.4928048052964627,16.57202380952381,68.7,0.5208791243215496,111.4,53.6,0.5255654067174307,110.6,52.8,42.0
policy+baseline,5,0.33471550637683356,0.9625,0.4958351083267657,25.95416666666667,79.6,0.5208791243215496,111.4,53.6,0.5184668858332868,108.3,52.5,42.0
policy+baseline,6,0.3567145135566188,0.9625,0.5197098480969449,25.95416666666667,79.6,0.5208791243215496,111.4,53.6,0.5375734990805829,104.7,48.9,42.0
policy+baseline,7,0.3679917708710278,0.925,0.5258580550994344,43.87797619047619,115.3,0.5208791243215496,111.4,53.6,0.4961226241647199,74.4,37.7,42.0
policy+baseline+trust,3,0.32711273957841464,0.9625,0.4873270438106367,16.57202380952381,68.7,0.5208791243215496,111.4,53.6,0.5208791243215496,111.4,53.6,42.0
policy+baseline+trust,4,0.33204883971016697,0.9625,0.4928048052964627,16.57202380952381,68.7,0.5208791243215496,111.4,53.6,0.5255654067174307,110.6,52.8,42.0
policy+baseline+trust,5,0.33471550637683356,0.9625,0.4958351083267657,25.95416666666667,79.6,0.5208791243215496,111.4,53.6,0.5188317360118304,108.2,52.4,42.0
policy+baseline+trust,6,0.3567145135566188,0.9625,0.5197098480969449,25.95416666666667,79.6,0.5208791243215496,111.4,53.6,0.5522308045163122,101.7,45.9,42.0
policy+baseline+trust,7,0.3756829685622255,0.925,0.5337019353571077,47.50476190476191,117.9,0.5208791243215496,111.4,53.6,0.5727478480057522,76.0,32.6,42.0
rules_only,3,0.43366522366522364,0.4875,0.4569418644650843,11.991666666666667,31.9,0.42366465703630407,136.3,78.5,0.44569218708991276,70.6,39.4,42.0
rules_only,4,0.43366522366522364,0.4875,0.4569418644650843,12.475,31.9,0.42366465703630407,136.3,78.5,0.44322750521562976,70.3,39.4,42.0
rules_only,5,0.43366522366522364,0.4875,0.4569418644650843,26.15,76.1,0.42366465703630407,136.3,78.5,0.43506354822595944,69.1,39.3,42.0
rules_only,6,0.47063492063492063,0.45,0.4584873949579832,101.21666666666667,150.3,0.42366465703630407,136.3,78.5,0.2607799145299145,42.6,31.6,42.0
rules_only,7,0.4011904761904762,0.3375,0.36523809523809525,123.81666666666668,162.5,0.42366465703630407,136.3,78.5,0.17577795505427085,38.0,31.4,42.0
